repository	id	iid	project_id	title	description	state	created_at	updated_at	merged_by_user_name	merged_at	closed_by_user_name	closed_at	target_branch	source_branch	author_user_name	source_project_id	target_project_id	sha	merge_commit_sha	squash_commit_sha	changes_count	additions	changes	deletions	file_count
tezos/tezos	65057020	1986	3836952	Proto_compiler: turn all protocol warnings into errors	"# Context 

This change turns protocol compiler all warnings into errors (apart from the warnings that are already suppressed in warning-list `-w` above). This is to avoid introducing code change that triggers warnings, which go unnoticed because the CI build still passes.

# Manually testing the MR

To test, one can introduce a change in alpha protocol that triggers a warning and ensure that this warning fails the build.

# Automatic testing

This is tested by `dune build @runtest_compile_protocol`

# Reviewers

@romain.nl @pirbo @abate"	merged	2020-07-21T09:32:13.267Z	2020-07-27T13:21:34.540Z	pirbo	2020-07-27T10:29:33.488Z			master	tomas/proto-warn-error-all	tzemanovic	11412215	3836952	9174e749fa3b295a3762448f6136ca040a791b7c			14	56	112	56	14
tezos/tezos	64724954	1976	3836952	P2p: minor doc fix	Fixes https://gitlab.com/tezos/tezos/-/issues/870	merged	2020-07-17T08:21:43.784Z	2020-07-20T12:59:49.813Z	raphael-proust	2020-07-20T12:59:50.141Z			master	philb@p2p_minor_doc_fix	bidinger	9487506	3836952	e28ea01e6be8dc7e4ddede864ee9f76d09710b11			1	1	2	1	1
tezos/tezos	64531793	1971	3836952	Scripts: tezos-client uses --endpoint instead of --addr, --port, or --tls		merged	2020-07-15T15:05:56.109Z	2020-07-15T16:27:31.222Z	vbotbol	2020-07-15T16:27:31.301Z			master	endpoint_in_scripts	pirbo	9487506	3836952	e13f236a52e7606c8a90fdcd4a13c85785da0c07			3	32	64	32	3
tezos/tezos	65247090	1992	3836952	Fix that `config init -o file` fails + fix `--config-file` `password_filename` handling + add tests	"Fixes https://gitlab.com/nomadic-labs/tezos/-/issues/202

Branch: https://gitlab.com/nomadic-labs/tezos/-/commits/smelc-issue-202-config-init-cli-fix

Here's what this MR does:

- [X] Add a test witnessing the issue 202 (`config init -o` doesn't work anymore)
- [X] Remove command `config init mockup` and implement it in `config init` when `--mode mockup` is specified. This is possible because the two configurations and the two modes are orthogonal to each other. Check that the test passes, hereby fixing issue 202.
- [X] Add a roundtrip test that checks that the file generated by `config init` can be given as input and that `config init`ing again yields the same file as the original one.
- [X] The previous test revealed than field `password_filename` of `--config-file` was being ignored. Hence fix that too.
- [X] Remove command `config show mockup` and implement it in `config show`, for consistency.
- [X] Add tests of `config show`, because well, I was on the way :cat:

Note that, compared to the original report, we don't do any change to the baker. As @igarnier mentioned, the baker's options cannot be easily separated from the main client's options. However, because this MR changes `config init mockup` to `--mode mockup config init`, the baker should not be disturbed by the mockup mode anymore in its normal operations; since the baker is not supposed to pass `--mode mockup` in the first place.

Suggested reviewers: @igarnier @richard.bonichon @rafoo\_ @bidinger"	merged	2020-07-22T14:53:26.462Z	2020-07-31T10:12:32.967Z	pirbo	2020-07-31T10:12:32.974Z			master	smelc-issue-202-config-init-cli-fix	smelc	9487506	3836952	48a19c665452d19e1ca5bb458f61bd336e727191			4	314	451	137	4
tezos/tezos	64540779	1972	3836952	Fix error management in the baker	!1820 introduced a bug that made the baker close its context on any encountered error making it fail when it starts baking a new block. This MR fixes this issue by introducing a finaliser in the scheduler loop. The baker will now also retries baking a block for a maximum of 5 times before stopping and waiting for a new head.	merged	2020-07-15T16:17:26.972Z	2020-08-24T13:10:14.325Z	pirbo	2020-08-24T13:10:14.381Z			master	vbot@fix_baker_closing_context	vbotbol	9487506	3836952	6c7461bac93760e3ed40bba087b683194f22c275			10	82	104	22	10
tezos/tezos	65247349	1993	3836952	Mockup-mode: allow setting initial timestamp	"This MR allows an extra parameter to be setup for the mockup mode, that
is the `initial_timestamp` so that it can be something different from
`Time.Protocol.epoch`

Both the documentation and the tests have been augmented to reflect the change.

## Possible reviewers

@smelc @rafoo\_ @klakplok @igarnier"	merged	2020-07-22T14:55:07.329Z	2020-07-27T13:48:45.462Z	pirbo	2020-07-27T13:48:45.472Z			master	rb@mockup-initial-timestamp	richard.bonichon	14747364	3836952	2c5d199767b726c1b57e5c0d5dd6a81b2ed37945			5	90	126	36	5
tezos/tezos	64482061	1969	3836952	Shell/DDb: remove deadcode	Optional `?peer` parameter isn't used in `Advertise.current_head`, and `Advertise.current_branch`.	merged	2020-07-15T09:19:54.551Z	2020-08-03T08:51:16.472Z	raphael-proust	2020-08-03T08:51:16.480Z			master	philb@ddb_deadcode	bidinger	9487506	3836952	226038c3273c9ee53dbffd2194b2b786cfc7aa50			2	29	94	65	2
tezos/tezos	64288927	1965	3836952	Shell: small refactor	Fix #865	merged	2020-07-13T16:45:13.439Z	2020-07-15T13:48:27.386Z	pirbo	2020-07-15T13:48:27.823Z			master	raphael-p@small-refactoring-in-shell--fix-865	raphael-proust	9487506	3836952	d627a498205f89f5388dca6a32f54bcd67a7b1e7			1	10	22	12	1
tezos/tezos	64340424	1966	3836952	add minimal profile for rustup	"according to this https://github.com/rust-lang/rust-clippy/issues/5136 , the command `rustup toolchain install 1.39.0` fails on rpi because some unnecessary deps such as `rust-clippy` are unavailable for rpi.

running `rustup set profile minimal` fixes this issue"	merged	2020-07-14T03:50:07.417Z	2020-07-16T10:28:30.337Z	pirbo	2020-07-16T10:28:30.394Z			master	patch-1	chiptus	19939353	3836952	58cd897fb25ad94f637fdb7c0e8901f2d8d851aa			1	1	1	0	1
tezos/tezos	65221946	1987	3836952	Remove legacy logging from p2p events io scheduler	"This MR removes the legacy logging from p2p scheduler.
It also removes a couple of redundant debug messages.

To make the event handling more uniform I changed 
the type of p2p_io_scheduler.register to a Lwt.t type."	merged	2020-07-22T11:48:05.028Z	2020-09-17T11:47:00.702Z	pirbo	2020-07-27T09:25:31.704Z			master	abate@p2p_events_io_scheduler	abate	9487506	3836952	73482b7bcd4a2513b87e4a3031792bee5c1b37fd			2	154	208	54	2
tezos/tezos	64072724	1963	3836952	fixup! Error_monad: test recursive registration	Reflect dependency to alcotest-lwt in opam file	merged	2020-07-10T09:52:45.706Z	2020-07-10T10:51:12.321Z	pirbo	2020-07-10T10:51:12.366Z			master	error_monad_opam	pirbo	9487506	3836952	33cebf3f075e68bc426e93e7a22b5e508581ae92			1	1	1	0	1
tezos/tezos	64721114	1974	3836952	Client: mockup: load correct proto in config {show, init} mockup	"Fixes: nomadic-labs/tezos#200

Branch: [smelc-issue-200-mockup-cmd-glitchs](https://gitlab.com/nomadic-labs/tezos/-/commits/)

This MR has two commits:

1. Add a test that fails, because of issue nomadic-labs/tezos#200. The test is more general than the failure, it's a Cartesian product with 24 cases; 2 of them fail. All cases were untested so far.
2. Fix the problem, witness that the test passes now.

Suggested reviewers: @igarnier, @richard.bonichon, @rafoo\_"	merged	2020-07-17T07:47:50.481Z	2020-08-17T14:24:14.427Z	tzemanovic	2020-08-17T14:24:14.692Z			master	smelc-issue-200-mockup-cmd-glitchs	smelc	9487506	3836952	397dd233a10cc6df0df959e2a624c7947997dd0c			5	86	123	37	5
tezos/tezos	63809856	1959	3836952	[WIP] chain_validator: Refactorization for the new mempool	"This MR is extracted from !968 and is mostly a refactorization of the chain_validator with some change in the vocabulary.

Mostly the refactorization is about the use of the `lib_worker` library. Moreover, we have also added a request which is not used now but will be used by the new mempool (`notify_mempool`).

Moreover, we have changing the name `prevalidator` to `mempool_validator` according to !968 but currently we keep the `prevalidator` module as it is."	closed	2020-07-08T07:43:34.184Z	2020-09-22T12:49:38.851Z			Saroupille	2020-09-22T12:49:38.873Z	master	francois@team_mempool@refactor-chain_validator	Saroupille	9487506	3836952	bc5361f153bd0fb6185084327fe3e1ae71c02e8d			26	575	939	364	26
tezos/tezos	63759510	1958	3836952	Context: get rid of del, copy of remove_rec	"`del` and `remove_rec` are the same thing, let's get rid of one of them.

The protocol counterpart is metastatedev/tezos!234

Fixes metastatedev/tezos#193

Test plan: CI"	merged	2020-07-07T17:27:01.580Z	2020-07-13T23:02:15.963Z	pirbo	2020-07-13T23:02:16.300Z			master	mehdi@remove_rec	mbouaziz	9487506	3836952	18c02909c6daffbd0e794e2c3fd5aeb3a567481e			9	6	27	21	9
tezos/tezos	65225286	1990	3836952	a few disparate commits on error and exn management	"# Context 

This MR reduces the use of exceptions for control-flow.  
It also fixes a few bugs in error/exn management."	merged	2020-07-22T12:18:07.272Z	2020-08-26T15:42:01.768Z	klakplok	2020-08-26T15:42:01.804Z			master	raphael-p@a-few-code-quality-passes-on-error-and-exn-management	raphael-proust	9487506	3836952	28f3cee39b5d25dfd09fc7a8723b7437a8f18416			13	166	335	169	13
tezos/tezos	63571401	1954	3836952	Snapshots: improve performance of the context dump	"Changes:

- avoid unbounded caching of subtrees;
- traversal is tail-recursive in the depth of the tree;
- avoid various unnecessary `option`s;
- group calls to `Tree.get_tree` to make more efficient use of tree
  caching.

The new implementation is faster and uses less than half as much memory.

Total time | Peak memory usage
:----------------------:|:-------------------------:
![image](/uploads/b6c7c9bea1be06ad98719571976841e8/image.png) | ![image](/uploads/66a19124d37f4c54a09635a798b0fbd8/image.png)

As discussed offline, the memory usage is still linear in the size of the context due to the node visitation tracking, but this is required to keep an easily-specified canonical form for the snapshots.

Additionally, this changes the internal API to one that is easier to implement efficiently within Irmin itself. Rather than using low-level tree manipulations, the context dump now uses a single iterator function provided by `context.ml`. This internal API is now held in `context_dump_intf.ml`, to avoid excessive duplication of types.

(edit: added some additional performance improvements and corresponding charts.)"	merged	2020-07-06T07:05:03.064Z	2020-09-09T15:36:39.433Z	pirbo	2020-09-09T15:36:40.237Z			master	improve-context-dump	CraigFe	18643592	3836952	4135f3b3d18d96515a532564896db96953673f7f			4	297	733	436	4
tezos/tezos	63357629	1952	3836952	WIP: Docs/clic: tutorial	https://gitlab.com/nomadic-labs/tezos/-/issues/195	opened	2020-07-02T16:54:24.477Z	2020-08-20T11:00:42.426Z					master	arvid@clic-doc	arvidnl	9487506	3836952	66b68ba3e2dc243db5aa81e1551d286771b75ce5			10	595	595	0	10
tezos/tezos	64252782	1964	3836952	Add missing encoding cases		merged	2020-07-13T12:46:08.520Z	2020-08-28T12:37:35.474Z	adrianbrink	2020-07-13T13:45:46.702Z			master	tomas/encoding-missing-case-upstream	tzemanovic	11412215	3836952	d9d582e67f9f4ea38d2b4af44eff1f2feae91973			3	21	24	3	3
tezos/tezos	64623636	1973	3836952	Stdlib: improve documentation of dont_wait	ping @julien.t	merged	2020-07-16T10:07:46.322Z	2020-08-27T08:05:50.652Z	arvidnl	2020-08-27T08:05:50.970Z			master	raphael-p@improve-doc-of-lwt-utils-dont-wait	raphael-proust	9487506	3836952	1e6a262fa5693f638a96c309bc99d21697da9f9b			1	39	41	2	1
tezos/tezos	63602706	1955	3836952	Storage: use Irmin 2.2.0	"Very small port to use the Irmin 2.2.0 API in the context dump.

CC @pirbo."	closed	2020-07-06T12:08:04.265Z	2020-07-07T07:15:42.815Z			pirbo	2020-07-07T07:15:42.844Z	master	use-irmin-2.2.0	CraigFe	18643592	3836952	476eb7706e7d629572f63f32a7b3b2d294fda808			2	5	7	2	2
tezos/tezos	63627941	1956	3836952	Add coq_of_ocaml (and use irmin 2.2.0)	This is the new !1955 and !1931	merged	2020-07-06T15:41:57.235Z	2020-07-07T08:32:10.802Z	pirbo	2020-07-06T22:03:00.904Z			master	use-irmin-2.2.0	pirbo	9487506	3836952	536b1845cd39805b39d8002cd94656a62c3c736a			5	19	25	6	5
tezos/tezos	63344252	1951	3836952	Error_monad: [@inline] trivial functions (ok, return, etc.)		merged	2020-07-02T14:58:38.121Z	2020-07-06T13:56:05.444Z	klakplok	2020-07-06T13:56:05.495Z			master	raphael-p@force-inline-in-simple-error-monad-functions	raphael-proust	9487506	3836952	6993dacd211de0aa9ca8a21f82a739b5b2972c71			1	6	12	6	1
tezos/tezos	63706699	1957	3836952	Add testing instructions to contribution guidelines	"Fixes: https://gitlab.com/nomadic-labs/tezos/-/issues/144

This MR adds testing instructions to the contribution guidelines.

I also fixed a spelling error.

# How to test :)

    $ cd docs && sphinx-build -b html . ""_build"" developer/merge_team.rst && xdg-open _build/developer/merge_team.html

# Suggested reviewers:

@mbouaziz @rafoo\_"	merged	2020-07-07T10:35:38.683Z	2020-08-24T14:09:52.406Z	adrianbrink	2020-08-24T14:09:52.713Z			master	arvid@contribution_testing_guidelines	arvidnl	9487506	3836952	d25564d959868fa9d3b91da269f0c06f4ffbbde8			2	23	29	6	2
tezos/tezos	63286959	1948	3836952	doc: fix error in configuration file example	fix an error in the node's config file documentation spotted in #842	merged	2020-07-02T08:15:01.085Z	2020-07-02T11:03:27.316Z	adrianbrink	2020-07-02T11:03:27.560Z			master	julien@fix_log_doc	julien.t	9487506	3836952	9dcf30f0024da45f6d497bee0d33de066351b876			1	1	2	1	1
tezos/tezos	63150109	1946	3836952	lib_stdlib_unix: Remove the RPC dependency	We remove a non necessary `RPC` dependency from `lib_stdlib_unix` so that less packages are needed to be install from `opam` to install libraries depending on `lib_stdlib_unix` but not `RPC`.	merged	2020-07-01T08:01:38.600Z	2020-07-01T11:55:07.291Z	adrianbrink	2020-07-01T11:55:07.330Z			master	francois@remove-rpc-dep-in-stdlib-unix-opam	Saroupille	9487506	3836952	5f7d9e62c7f6df76464550af6307672d855b38da		5f7d9e62c7f6df76464550af6307672d855b38da	3	1	5	4	3
tezos/tezos	64517841	1970	3836952	WIP: partial handling of DDB errors at the DDB level	"After discussing with @bidinger I think this MR might not be the correct solution for the problem.
Back to wip for the moment.

At the moment, the DDB does not take care of removing the operation from the queue in the event of an error, leaving this to the caller. This patch takes care of catching the errors are removing the operations, but at the same time does not change the current behavior. The caller on error can decide to make a new request or simply print a warning and forget about it. Since we operate at the DDB level this is valid for both headers and operation fetch requests.

In my initial tests, this patch also solves the problem in https://gitlab.com/tezos/tezos/-/issues/858 .

I'm not sure how to add a regression test here. Help will be much appreciated."	closed	2020-07-15T13:34:05.675Z	2020-09-03T12:12:34.905Z			abate	2020-09-03T12:12:34.918Z	master	abate@ddb_timeout	abate	9487506	3836952	bad8e78e5a64349be73c3b816acff47f2a6a0538			4	26	33	7	4
tezos/tezos	63212544	1947	3836952	Everywhere: do not exit on dont_wait uncaught exception	"In most cases just print the uncaught exception, in some cases dont not wait.

Precondition to !1880"	merged	2020-07-01T15:16:13.347Z	2020-07-13T12:07:38.334Z	pirbo	2020-07-13T12:07:38.375Z			master	raphael-p@dont-crash-when-dont-wait	raphael-proust	9487506	3836952	832758ff8028d64f6ec72e161646c14feaf719d5			15	148	219	71	15
tezos/tezos	64400008	1968	3836952	Lwtreslib: support seeded hashtbls	"Part of https://gitlab.com/tezos/tezos/-/merge_requests/1872 which contains more context. This MR specifically

- adds support for seeded hashtbl in Lwtreslib
- export string-specialised hastbl in TzPervasives (because there were a few places that used a generic hashtable with string keys only)
- use exported specialised tbl where appropriate (occurrences for this were found in the follow-up MR !1895)

This MR paves the way for !1522 (which aims to improve security) and for the rest of !1872 (which generally improves the error monad and the error management)."	merged	2020-07-14T13:14:04.597Z	2020-08-11T15:41:03.607Z	mbouaziz	2020-08-11T15:41:03.648Z			master	raphael-p@complete-lwtreslib-s-hashtbl-with-support-for-non-specialised-tables	raphael-proust	9487506	3836952	fc2d5c5003398e65506d30cd39365e731205f82e			12	199	232	33	12
tezos/tezos	63311070	1950	3836952	WIP: migration : cleanup alpha previous	"This MR is based on https://gitlab.com/metastatedev/tezos/-/merge_requests/132 where only commit touching proto_alpha have been  left.

This MR cleans all occurence of ""alpha_previous"" which where mainly used for `./scripts/snapshot_alpha.sh`. This script have been cleaned up of that in this MR https://gitlab.com/tezos/tezos/-/merge_requests/1949"	closed	2020-07-02T11:35:27.007Z	2020-07-02T11:37:49.294Z			sribar	2020-07-02T11:37:49.305Z	master	sylvain/clean-alpha-previous	sribar	11412215	3836952	bf7b5fc8ea2a8e8b4d5ba8133e357b6270d486e2			537+	27496	48591	21095	679
tezos/tezos	62955634	1942	3836952	Flextesa: Add Alpha protocol and use as default	"The goal of this MR is to configure Flextesa to be able to use it on Alpha proto protocol with changes after Carthage.

Currently, when flextesa uses Alpha protocol, it uses Carthage constants, client commands, etc. for it. In the protocol proposal branch, some constants from Carthage are being changed, so Alpha needs to have its case."	merged	2020-06-29T15:45:37.568Z	2020-07-07T08:10:13.602Z	pirbo	2020-07-07T08:10:13.644Z			master	tomas/flextesa-alpha-constants	tzemanovic	11412215	3836952	62d476defca993015b17712354c5a0ce1fbe16cd			4	21	38	17	4
tezos/tezos	63092506	1944	3836952	Client/mockup: remove --chain-id-seed arg in create mockup command	"We added the `compute chain id from seed` client command, hence the `--chain-id-seed` argument to create mockup can be removed without compromising the ability for users to configure custom chain ids for their mockup.

This allows to simplify a bit the mockup client initialization logic.

# TODO:
- remove or adapt tests involving --chain-id-seed

# Suggested reviewers
- @richard.bonichon @smelc @rafoo\_"	merged	2020-06-30T15:31:22.557Z	2020-07-20T11:48:10.859Z	pirbo	2020-07-20T11:48:10.912Z			master	igarnier@remove-chain-id-seed-arg	igarnier	9487506	3836952	fb99053b8d6590581c7349149567c36c202e11ae			14	40	187	147	14
tezos/tezos	63115025	1945	3836952	doc: fix glitchs in table of contents and mockup documentation	"This MR fixes two things:


* That there is a `Chain id` entry in the left table of contents on https://tezos.gitlab.io/index.html, whereas this entry belongs to the mockup page. ![chain_id_in_toc](/uploads/c67b99d7b62fd0e7430f8d6bfc713aff/chain_id_in_toc.png)
* That some code blocks in the markdown documentation look wrong:  ![broken-code-blocks-online](/uploads/f9d42c4e1618de9693b1f22fe85f9591/broken-code-blocks-online.png)

Suggested reviewers: @igarnier @arvidnl @bidinger"	merged	2020-06-30T19:53:15.805Z	2020-07-02T15:58:15.442Z	arvidnl	2020-07-02T15:58:17.525Z			master	smelc-fix-mockup-doc-glitchs	smelc	9487506	3836952	f004ed59b0061c132463026bbac3c0389d6aa8c1			1	5	6	1	1
tezos/tezos	62749191	1938	3836952	WIP: doc: give direnv instructions for making dependencies locally available to tezos	"This MR aims at improving build reproducibility by minimizing dependencies to the global installation and making it easier to have multiple tezos clones - using different versions - working at the same time. This is done by using [direnv](https://direnv.net/) that

> augments existing shells with a new feature that can load and unload environment variables depending on the current directory.

These instructions are optional and do not replace the usual instructions. The aim is, however, to start going into this direction. This MR will wait for !1711 to be merged first, as this MR will then be augmented with instructions specific to the test framework.

Recommended reviewers: @arvidnl @mbouaziz @dannywillems 

Note that this MR does NOT document how to install tools locally to the `tezos` directory (this is done already for `opam` because a local switch is used). It is desirable but it doesn't work at the moment for `cargo` and `rustup`.

Normally `cargo` and `rustup` support a local install by specifying `CARGO_HOME` and `RUSTUP_HOME` like this:

```bash
cd tezos
export CARGO_HOME=$(pwd)/.cargo
export RUSTUP_HOME=$(pwd)/.rustup
curl https://sh.rustup.rs -sSf | sh
```

So the following in `.envrc` should work:

```
PATH_add .cargo/bin
```

but unfortunately compilation fails as follows:

```
[ERROR] The compilation of conf-rust failed at ""/home/churlin/.opam/opam-init/hooks/sandbox.sh build which cargo"".
#=== ERROR while compiling conf-rust.0.1 ======================================#
# context     2.0.4 | linux/x86_64 | ocaml-base-compiler.4.09.1 | git+https://gitlab.com/tezos/opam-repository.git#f9f3b9f7cd60a54f06836cca466a19f562c9b833
# path        /media/crypt1/nomadic/tezos/_opam/.opam-switch/build/conf-rust.0.1
# command     ~/.opam/opam-init/hooks/sandbox.sh build which cargo
# exit-code   1
# env-file    ~/.opam/log/conf-rust-28040-ccabea.env
# output-file ~/.opam/log/conf-rust-28040-ccabea.out
<><> Error report <><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><>
┌─ The following actions failed
│ λ build conf-rust 0.1
```

because `opam` must somehow escape `direnv`'s sandbox (this is sad :crying_cat_face:)."	opened	2020-06-26T09:28:51.827Z	2020-06-29T08:45:17.209Z					master	smelc-direnv-install-instructions	smelc	9487506	3836952	59db752b9cb753ec39ea6ff8ecddfefa6e2bb0d3			1	42	42	0	1
tezos/tezos	62755347	1939	3836952	WIP: More Michelson typechecking tests	See nomadic-labs/tezos#186.	opened	2020-06-26T10:25:47.443Z	2020-08-20T16:44:06.464Z					master	rafoo@test_michelson_typecheking	rafoo_	9487506	3836952	7e73cd95ad4c756eb6f5a8c1d1be1c48887c5204			54	3394	3536	142	54
